season,team,gpa,n_sources,gpa_z,class_sent,fan_year_z,fan_team_z,class_resid,n_picks,n_scored
2024,MIA,2.79,20,-0.5101898841009622,0.1554164988665836,-1.7897022501696602,-0.6828635690468267,-0.04067237569435554,7.0,7
2024,LVR,2.73,20,-0.6269437073993946,0.23881869166828293,0.983173691526822,1.7799699139893528,0.0036526147643923396,8.0,7
2024,SFO,2.69,20,-0.7047795895983496,0.16553041931276444,-1.4534443444797323,-1.1129767902047192,0.12688164257394532,8.0,8
2024,DAL,2.64,20,-0.802074442347043,0.20604684132135165,-0.10639328913932337,0.651040142924059,0.07784602189457804,8.0,8
2024,JAX,2.57,20,-0.9382872361952146,0.17158445539369965,-1.252165571883172,-0.7443259805601588,-0.044039016033295915,9.0,9
2024,DEN,2.55,20,-0.977205177294692,0.2433033186317073,1.132274258270067,0.2598238222466044,0.05425253367989814,7.0,6
2024,TEN,2.47,20,-1.1328769416926012,0.17521871563615113,-1.1313371805227905,-0.5497105050529515,0.0905616682363388,7.0,7
2024,CAR,2.43,20,-1.210712823891556,0.18290618676225462,-0.8757515295706442,-1.0625178336723529,-0.053476973118566175,7.0,7
2024,CLE,2.25,20,-1.5609742937868534,0.25024043281112246,1.3629127626873025,1.5820630394365798,-0.05675493279802168,6.0,6
2024,ATL,1.68,20,-2.670135615121961,0.16368089400414637,-1.5149355842127157,-1.0419852598473103,-0.12430369513661378,8.0,8
